# Starting test run
x y points n_ticks consumed_balls
390 573 74846 1264 982
423 562 38142 1251 981
85 176 60455 1181 988
520 336 18308 1228 987
685 589 288367 1162 985
88 567 89303 1264 988
154 10 58555 1147 989
435 50 40788 1219 987
625 216 38804 1280 984
381 212 13578 1143 988
773 479 367954 1209 978
338 28 36150 1212 980
223 397 25681 1187 983
775 431 69920 1224 983
472 121 32155 1304 988
706 63 101390 1187 976
356 39 46343 1188 983
467 510 32469 1186 982
435 29 36304 1200 989
107 354 46552 1207 980
745 371 103009 1304 990
769 331 87818 1198 993
1 222 122664 1255 981
328 112 32765 1166 992
200 146 34495 1249 989
702 259 53975 1214 990
592 420 39883 1267 989
574 356 20793 1243 982
96 289 87665 1202 978
408 349 17628 1148 984
711 260 39417 1172 979
616 546 66638 1210 977
121 97 82997 1165 981
144 531 95205 1206 985
38 495 131489 1242 976
316 40 55893 1186 985
165 529 56839 1196 986
161 563 138641 1264 986
518 528 43389 1201 989
465 52 26818 1193 990
319 179 25320 1211 988
112 68 82056 1228 987
763 483 78274 1168 980
353 450 19904 1222 969
440 235 15696 1164 989
443 306 14953 1299 987
54 313 74460 1275 978
747 35 147312 1302 986
566 434 34034 1240 983
358 252 16757 1337 983
619 159 32351 1184 984
744 202 94116 1191 980
672 240 44764 1326 983
169 519 62325 1250 984
211 276 41138 1226 987
12 442 75306 1183 986
148 160 35417 1262 988
538 91 43871 1254 984
463 311 25274 1152 984
169 512 69280 1232 989
502 411 22016 1261 990
672 562 133086 1448 989
480 509 38278 1188 987
347 527 53439 1239 984
222 495 37204 1284 990
327 488 35302 1215 985
172 360 64445 1185 992
148 99 70281 1177 991
548 107 52002 1254 987
134 247 46265 1216 983
91 253 76559 1240 986
569 163 24101 1341 990
121 430 42722 1189 985
448 474 41268 1268 986
253 499 33030 1247 980
655 486 88135 1358 987
728 460 129419 1292 987
522 174 24961 1228 993
206 448 42281 1270 987
649 363 67762 1187 988
296 444 24466 1212 986
118 124 49165 1228 984
131 343 56012 1208 976
142 474 43585 1239 984
341 285 16771 1389 987
712 374 63399 1204 986
94 476 86743 1192 992
229 515 43358 1176 982
722 476 126901 1182 989
597 62 98199 1348 972
621 313 43327 1276 983
410 404 20240 1259 982
456 425 23665 1240 989
236 71 67773 1211 988
235 209 25791 1146 978
449 114 36906 1215 990
403 149 28679 1320 987
220 422 35991 1264 994
71 563 128452 1178 982
544 80 48979 1209 991
362 525 29515 1195 980
578 462 35860 1297 986
405 29 37058 1157 977
469 507 31914 1272 985
583 365 52707 1252 988
38 539 179712 1142 989
183 411 57537 1237 983
66 221 82435 1294 975
283 322 18700 1191 993
286 121 22313 1329 986
533 440 23012 1306 979
578 307 25282 1193 984
25 184 88032 1218 983
725 79 103068 1196 984
179 271 48126 1227 980
782 339 117259 1185 981
745 241 60731 1273 987
312 314 33858 1372 989
743 467 70589 1203 983
771 324 244531 1232 987
177 202 45308 1261 985
396 160 21323 1282 985
82 503 156886 1232 990
617 261 35524 1152 984
531 240 20100 1213 988
662 264 54278 1209 983
88 79 87001 1190 977
212 332 28686 1201 989
671 87 128671 1229 986
345 67 41754 1187 987
547 325 20461 1171 990
706 288 135504 1251 992
268 451 55421 1172 985
241 43 57115 1196 992
629 435 35952 1183 986
104 327 92377 1386 983
61 513 80996 1178 986
371 379 19770 1239 993
577 524 94093 1204 988
330 228 22313 1197 991
640 222 48806 1169 986
142 301 25981 1178 984
499 68 49731 1140 976
770 294 130400 1211 983
175 371 35296 1294 981
576 135 59494 1199 982
58 518 175593 1266 984
714 64 109195 1219 978
411 558 95385 1245 986
150 162 46758 1206 989
51 214 59823 1219 984
189 527 55859 1255 988
185 162 27437 1269 985
104 496 78680 1429 987
620 448 70678 1255 975
329 308 20874 1205 982
505 589 79897 1320 986
676 443 88991 1178 970
361 112 37720 1207 982
650 276 79437 1183 988
720 445 79098 1292 988
577 287 22485 1234 982
114 125 47893 1168 981
446 17 48717 1320 979
44 371 89881 1230 987
8 151 104571 1224 985
76 400 60110 1219 979
306 101 44323 1311 986
529 8 56566 1292 987
442 302 19308 1246 983
382 21 50021 1285 988
318 150 25537 1321 986
361 538 31404 1269 986
103 506 68445 1139 980
21 545 266301 1282 974
114 246 65436 1187 979
535 487 26803 1208 977
98 513 120961 1256 988
120 250 66474 1261 984
98 157 141752 1183 984
119 599 85124 1175 978
575 281 63981 1264 997
780 561 116797 1184 985
433 466 17386 1260 987
180 328 33227 1509 979
31 157 110257 1314 984
521 540 21901 1165 989
490 24 48586 1257 989
187 556 38464 1201 991
593 441 37933 1207 985
271 497 67733 1227 984
789 300 442565 1198 984
562 412 28694 1172 991
312 25 49070 1253 983
100 18 105798 1251 979
183 434 36350 1215 983
603 457 42630 1260 984
493 535 47975 1296 989
405 55 34485 1209 989
501 375 17729 1155 986
76 258 73864 1249 991
4 138 59640 1220 976
220 381 34905 1244 988
580 90 49809 1186 984
217 594 63414 1232 980
434 390 15537 1230 985
732 136 255277 1287 985
439 246 17850 1231 988
657 148 41243 1219 976
759 432 111557 1162 986
600 474 40199 1195 979
65 112 73948 1224 987
685 328 67168 1214 985
329 578 59175 1189 981
124 111 65415 1448 984
32 79 153597 1186 988
246 565 94606 1182 987
677 467 133370 1263 985
394 465 32206 1251 991
697 242 78041 1267 988
373 100 31671 1195 988
58 524 75592 1163 987
796 24 292784 1218 985
495 423 28458 1193 984
444 548 50020 1422 983
471 308 17018 1205 976
207 251 39937 1213 987
571 298 35993 1358 988
316 153 19575 1244 983
777 385 77281 1197 985
283 365 29422 1279 987
684 137 43491 1220 978
247 23 40415 1167 981
162 33 309696 1148 988
232 126 36083 1266 983
632 61 54676 1286 982
165 539 73408 1230 986
397 44 41080 1238 985
661 230 35155 1201 988
628 285 61408 1212 983
437 573 37556 1207 985
409 30 52920 1193 982
341 76 76651 1241 994
403 431 23227 1218 984
388 54 34897 1136 983
261 140 34806 1313 986
244 543 46393 1280 987
314 209 27053 1219 974
336 2 37544 1187 990
508 195 34350 1283 992
520 245 34243 1232 984
130 248 55478 1188 989
668 302 39554 1225 973
286 141 18943 1182 985
547 326 16453 1229 988
430 377 15008 1307 982
490 531 37570 1135 986
426 297 20096 1289 991
744 231 63211 1260 979
579 66 46242 1185 985
783 117 93271 1313 980
615 217 32348 1224 973
767 152 80760 1445 989
609 244 21610 1226 992
436 336 13053 1356 984
394 191 25050 1226 990
208 95 39247 1158 988
8 504 107760 1227 988
728 257 51209 1220 986
369 151 21446 1238 986
431 332 19692 1242 987
742 562 144073 1253 985
12 113 142811 1168 986
482 174 26447 1294 989
424 151 17007 1183 979
106 462 131240 1134 989
243 71 53835 1249 978
547 12 71943 1191 989
761 183 54591 1204 988
455 235 16640 1132 983
366 161 35044 1164 985
130 468 73185 1222 989
545 252 23597 1280 980
178 584 132888 1301 988
634 347 27477 1189 976
207 519 40166 1162 977
634 57 67737 1343 976
516 539 52846 1216 983
273 123 44231 1207 979
97 476 84939 1183 978
792 350 93716 1226 982
187 359 35920 1219 986
640 543 60364 1356 984
27 46 278828 1281 987
639 278 35279 1257 984
43 497 306860 1231 981
364 562 46376 1167 987
518 151 66227 1263 995
271 257 21360 1275 982
439 289 15680 1185 987
680 519 97807 1237 991
142 577 69370 1203 989
121 283 30606 1197 975
408 411 24753 1244 986
557 363 24081 1224 986
278 200 28850 1254 986
377 246 16601 1213 989
659 502 108567 1226 989
29 241 65917 1165 977
519 494 32035 1205 987
786 564 230040 1210 984
396 249 23287 1151 972
614 159 52265 1195 983
73 41 465687 1177 972
217 137 28251 1405 988
566 254 25665 1183 982
609 373 47628 1188 984
100 239 105584 1222 989
459 325 15324 1269 986
127 372 53329 1238 987
424 116 35280 1274 994
409 348 18585 1216 977
14 216 215377 1187 982
638 587 61191 1263 981
197 240 53364 1224 985
174 496 64844 1194 986
37 40 269859 1323 986
34 497 69540 1260 985
486 22 32009 1162 977
663 323 45968 1241 985
111 94 53422 1303 983
786 131 74743 1151 991
734 242 46538 1305 982
280 359 48138 1170 979
344 480 23661 1226 976
267 458 43794 1203 988
304 430 21351 1269 986
577 141 38359 1189 973
571 548 41013 1173 988
169 573 49733 1178 975
182 384 22705 1194 987
531 321 19556 1253 990
551 21 50778 1216 988
391 200 33791 1244 989
30 524 257888 1211 979
41 529 273944 1222 985
538 349 20262 1262 989
496 274 22864 1234 989
124 28 86715 1180 988
214 566 82136 1230 987
17 12 192572 1308 989
274 103 21639 1295 990
185 476 27615 1203 983
431 245 16626 1164 978
134 189 55954 1317 987
111 459 90844 1185 982
786 395 120713 1371 981
417 537 28720 1203 993
18 267 151129 1211 986
53 171 78813 1244 981
560 104 52673 1193 984
408 406 17471 1161 988
115 369 63915 1207 984
658 423 80838 1179 981
374 46 45349 1241 988
714 210 65903 1363 986
76 395 113703 1244 985
291 510 55914 1206 992
664 556 65015 1229 988
109 87 98603 1289 983
369 28 48794 1175 981
748 170 106903 1181 992
602 279 29568 1152 988
423 104 25628 1258 986
217 489 49748 1134 984
298 122 41347 1247 985
15 89 288608 1326 982
696 452 161207 1315 961
707 596 177143 1271 982
691 400 38497 1214 983
430 395 17547 1204 976
89 270 55123 1206 993
688 266 47148 1168 990
484 494 33883 1259 986
173 148 98377 1188 984
92 157 118171 1226 986
614 321 29741 1193 973
142 522 87492 1242 987
220 329 28710 1195 984
658 334 41934 1186 984
173 241 48774 1212 992
732 386 52983 1236 973
281 414 21866 1233 982
635 294 34327 1224 980
186 6 53723 1290 981
767 49 339462 1332 987
508 416 22227 1211 992
209 487 57592 1272 979
442 380 18730 1154 986
608 113 69959 1201 988
189 240 45628 1212 980
300 65 36916 1219 993
476 89 34018 1264 990
347 269 14878 1301 989
761 57 142537 1403 985
672 377 71804 1346 989
525 592 60410 1254 984
601 481 95810 1277 980
797 255 102111 1263 978
625 156 117252 1344 984
14 126 116139 1183 987
350 60 57483 1169 983
590 94 37827 1201 981
173 555 120953 1202 989
478 152 23562 1177 987
522 568 168086 1215 974
488 316 18865 1224 984
94 579 154465 1308 982
349 153 26831 1221 988
432 50 57241 1196 989
310 181 30175 1192 987
616 338 35319 1191 983
668 105 106303 1334 984
301 495 25320 1211 985
121 69 999718 1439 985
680 156 54584 1294 985
281 479 26912 1234 995
620 273 37203 1194 989
437 162 17293 1220 989
583 68 53397 1233 985
421 110 35079 1175 980
790 597 146535 1257 976
572 328 32546 1257 987
467 194 26564 1184 982
538 528 41401 1256 984
24 100 126076 1297 991
327 68 40587 1341 989
725 537 144542 1228 991
13 540 154595 1267 986
580 18 86540 1195 982
684 123 35672 1269 975
602 370 64038 1156 979
681 160 49088 1171 986
693 309 47384 1278 989
333 304 23105 1185 988
163 532 71061 1252 989
8 324 159356 1194 982
440 86 27168 1230 988
73 27 63419 1291 990
344 187 30652 1314 988
255 498 37429 1221 990
568 185 41174 1206 990
569 580 107948 1169 994
268 587 71026 1239 971
794 133 107239 1251 971
531 206 17407 1275 990
69 378 78353 1209 980
671 236 39948 1222 989
409 167 23253 1213 981
554 51 86493 1163 986
492 375 21078 1217 987
589 431 47209 1291 974
298 313 18071 1134 991
585 348 29710 1186 981
655 367 55352 1234 982
46 4 260241 1224 982
690 62 155615 1208 979
755 547 426790 1197 986
112 444 124194 1631 986
642 378 31904 1197 981
573 472 28857 1217 977
666 385 76982 1266 983
152 357 58346 1227 988
246 269 29938 1241 986
42 234 347231 1212 983
315 284 17669 1133 990
593 62 48129 1284 987
490 292 19939 1171 988
267 20 63963 1266 987
98 178 121286 1223 980
297 311 24328 1165 984
608 349 29722 1172 984
93 238 99591 1188 979
81 490 134321 1231 987
6 14 218897 1240 988
515 370 26771 1199 990
698 505 108670 1200 993
478 239 17297 1168 990
221 25 46772 1262 993
352 151 20695 1201 983
794 2 124582 1288 985
673 491 130759 1154 992
155 77 123920 1169 985
729 463 83553 1236 982
184 103 58285 1261 988
692 572 105057 1221 987
484 249 18508 1255 985
524 406 31062 1231 985
107 311 61730 1234 986
249 203 24386 1207 989
207 454 41634 1193 982
275 101 22955 1274 975
378 139 22531 1211 988
622 498 38791 1189 972
459 522 42848 1201 986
185 146 46974 1207 988
556 39 67886 1220 983
223 548 59579 1296 991
413 16 49140 1337 986
488 550 49132 1224 982
442 532 49644 1260 990
510 250 28019 1200 985
158 387 42281 1172 989
194 283 27235 1235 991
161 159 79015 1308 981
351 371 22178 1258 984
607 148 42971 1182 991
464 221 24241 1208 981
597 244 56796 1170 988
574 466 32075 1235 988
390 195 13727 1179 986
670 393 41315 1145 983
82 106 150583 1211 977
434 270 25178 1251 982
171 307 52251 1234 982
167 380 33929 1159 988
245 236 34790 1187 986
461 539 39705 1333 987
408 567 61071 1181 989
699 105 167378 1309 988
75 310 50638 1252 992
368 69 39972 1232 984
467 20 35176 1201 992
686 190 199804 1210 985
527 258 24151 1156 985
183 471 71493 1181 988
324 296 16479 1239 981
647 540 59627 1230 981
309 118 25838 1171 983
233 588 77538 1347 977
449 441 21785 1371 985
245 522 59330 1179 991
728 584 263049 1259 987
465 106 26706 1261 982
776 77 220807 1213 989
325 200 17390 1203 984
293 74 37411 1207 983
233 432 55802 1196 983
709 591 131751 1234 973
336 384 20334 1227 980
241 84 46575 1226 988
600 504 42571 1159 987
782 201 124515 1195 982
727 237 51007 1187 982
117 538 133748 1189 980
198 552 88403 1259 987
684 183 148412 1207 984
758 130 96197 1264 986
