# Starting test run
x y points n_ticks
767 305 18 238
663 268 20 330
532 135 14 228
451 542 28 203
196 563 27 270
13 454 32 242
733 457 30 291
766 212 4 192
725 175 30 265
659 545 26 204
556 439 29 275
356 31 20 330
598 592 20 298
721 491 24 235
756 185 16 308
596 427 2 156
106 552 30 276
705 452 32 176
790 571 16 237
755 111 24 379
630 53 30 335
407 406 18 310
158 591 27 269
510 563 14 283
454 23 10 264
572 73 22 254
569 537 26 297
311 394 22 288
704 104 24 238
400 123 22 318
657 442 14 266
277 168 4 168
301 317 30 297
344 203 18 331
607 197 14 300
200 245 12 263
532 73 10 290
107 55 28 243
439 114 20 221
41 220 14 276
177 74 22 257
695 280 22 274
786 261 34 355
751 56 22 242
368 501 30 237
573 163 20 338
77 107 20 261
284 4 26 224
564 129 6 217
592 189 22 278
31 256 22 214
609 454 26 464
339 212 14 274
305 280 10 266
8 230 0 100
340 184 31 319
93 148 26 233
659 33 26 335
334 422 22 263
695 585 20 500
587 149 12 298
439 101 24 362
473 203 28 310
616 203 24 351
345 376 16 295
276 271 24 345
336 365 6 183
725 523 26 236
694 324 22 293
692 565 20 210
372 185 22 268
643 596 22 208
763 302 16 242
595 263 28 503
497 313 20 263
271 88 14 245
125 528 26 228
309 184 20 310
573 367 0 100
374 159 14 334
130 367 16 240
5 383 10 343
730 433 18 249
747 568 18 243
337 519 26 291
19 598 23 218
744 143 18 269
222 393 24 432
301 459 28 243
336 60 0 100
393 359 24 295
371 359 22 313
166 230 16 221
657 457 16 253
112 514 27 235
236 127 16 271
507 317 8 179
482 249 18 346
506 22 6 219
487 102 8 299
777 436 10 238
460 349 18 378
186 569 8 317
86 292 14 287
179 119 30 366
237 414 14 261
175 590 0 100
396 335 12 205
439 532 22 193
265 279 10 320
787 67 14 248
764 193 33 444
527 124 20 269
150 236 20 274
470 589 10 202
211 453 6 139
381 485 14 247
568 589 18 400
468 92 20 273
701 187 20 446
458 486 24 338
185 105 24 251
389 300 26 239
58 426 26 229
784 215 14 290
12 259 30 425
57 598 32 230
492 569 27 274
777 178 20 427
638 431 24 273
579 116 0 100
89 228 16 314
438 41 14 239
770 157 26 441
600 90 0 100
500 574 26 487
515 421 12 231
331 310 10 257
222 535 26 224
198 352 24 313
713 82 26 253
164 119 0 100
236 80 26 277
263 488 24 315
391 103 10 312
694 347 28 248
548 319 22 226
16 321 18 315
772 474 12 292
267 236 14 373
74 274 20 229
566 22 0 100
561 283 29 316
434 59 22 223
267 293 12 197
111 340 18 240
570 215 14 304
111 599 20 221
792 341 10 231
768 71 33 257
308 413 22 291
434 326 18 213
36 172 22 355
48 80 22 259
420 103 18 252
618 204 12 261
296 129 18 250
35 204 20 242
783 415 6 164
255 548 28 348
577 2 14 248
728 289 22 288
109 31 22 249
24 576 18 225
398 133 0 100
586 159 24 281
29 341 22 300
425 279 28 439
157 387 24 269
82 346 24 220
58 443 26 235
566 428 30 367
703 405 24 237
447 157 10 281
538 137 14 276
394 558 20 206
64 67 26 249
333 4 14 269
725 592 20 226
325 44 12 246
379 510 26 224
271 27 0 100
600 380 24 316
637 594 2 199
324 511 27 191
721 315 28 271
772 448 26 256
102 351 14 261
211 183 12 265
192 365 12 282
366 302 22 197
451 33 16 317
433 381 26 325
207 469 22 530
367 182 2 177
228 466 28 310
419 502 26 252
463 574 18 189
233 151 18 346
172 371 24 474
398 307 14 200
4 487 32 446
284 53 18 222
492 213 26 360
292 20 4 209
711 457 28 242
35 295 16 218
537 229 27 318
657 137 26 277
747 537 28 222
11 254 16 329
560 86 16 314
445 92 0 100
500 151 24 295
379 235 22 318
250 120 16 278
20 65 0 100
429 261 0 100
336 435 4 178
536 445 26 468
38 362 14 252
544 334 12 221
117 599 0 100
478 544 32 102
779 374 26 236
519 232 16 330
94 96 22 258
377 266 24 351
120 208 29 241
546 79 18 233
492 420 0 100
64 97 26 366
759 221 30 248
732 431 26 366
155 540 28 230
295 404 24 436
763 379 16 222
494 472 14 216
1 426 8 231
372 529 28 273
492 258 24 299
157 93 2 115
20 152 27 249
140 275 14 291
768 105 12 246
28 551 28 226
292 108 0 100
305 363 24 343
268 495 26 222
274 587 22 380
107 468 24 225
232 373 22 260
215 533 24 232
274 324 2 162
511 401 22 204
256 347 22 245
476 594 24 278
336 431 18 422
108 319 20 213
635 22 2 101
568 372 20 374
583 60 0 100
210 334 23 425
346 582 27 190
702 151 26 256
190 34 24 268
671 497 22 218
745 37 27 237
782 57 22 224
761 452 32 188
111 163 22 211
699 317 20 235
249 139 26 266
452 385 14 333
756 502 24 234
317 296 2 169
361 349 18 334
529 41 24 262
204 354 2 122
576 34 30 336
12 146 29 335
690 452 30 405
232 243 12 308
537 587 10 335
141 318 34 394
641 124 20 304
389 408 28 338
342 91 22 315
309 430 24 343
595 593 24 413
795 332 0 100
734 156 35 257
313 161 22 334
695 442 30 236
219 372 20 275
255 472 20 289
744 149 28 416
606 249 24 491
263 518 24 314
663 459 18 250
543 520 32 132
517 155 22 266
433 384 12 271
405 205 0 100
61 75 28 242
718 85 29 249
92 177 26 443
93 260 35 223
656 60 0 100
591 597 32 447
216 486 24 345
332 325 18 259
788 204 10 313
259 295 20 240
212 33 12 239
698 327 22 286
114 133 26 258
28 228 18 218
288 98 24 256
727 560 28 244
376 486 28 291
308 90 26 280
270 153 2 176
2 30 0 100
149 389 26 278
252 402 27 451
395 445 24 364
147 228 6 190
302 594 10 296
313 19 16 212
254 227 22 285
519 229 4 212
375 515 28 313
709 489 29 272
109 526 32 270
284 285 24 257
659 259 26 272
432 109 10 239
333 508 33 198
752 228 30 332
125 191 20 283
737 588 26 227
556 519 20 281
277 417 20 381
345 33 0 100
764 178 26 529
295 102 28 255
345 14 0 100
28 402 20 269
693 56 28 258
728 121 0 100
323 317 12 250
479 48 16 229
24 332 16 248
299 543 22 258
164 535 33 236
615 390 16 271
539 583 18 231
711 308 22 438
56 47 26 226
419 325 16 300
136 181 26 317
253 312 0 100
574 16 18 364
370 66 16 213
61 34 30 332
215 12 22 255
46 400 27 455
593 588 16 272
19 226 16 231
48 77 26 252
130 594 22 214
102 476 35 363
91 214 22 254
615 215 27 489
750 96 20 295
739 143 24 246
452 235 30 281
673 186 20 245
795 554 18 202
7 379 22 212
100 142 28 221
756 358 10 211
717 480 22 278
376 186 18 215
103 431 26 259
728 86 14 246
164 17 20 243
396 307 0 100
501 342 16 204
405 581 16 195
296 380 27 240
505 409 14 506
722 102 30 313
80 519 26 327
281 309 26 303
405 72 10 283
48 23 32 250
377 38 10 249
42 427 8 208
640 591 20 283
771 330 12 260
78 333 8 210
107 523 28 218
440 213 0 100
678 216 20 274
358 186 22 312
664 304 30 230
263 61 18 220
0 360 27 458
98 595 23 233
759 71 16 240
487 450 4 175
654 566 30 467
435 179 4 204
456 557 26 186
211 531 24 232
329 433 14 243
282 481 30 261
130 585 22 208
391 81 18 247
255 399 24 305
425 210 14 462
725 523 26 235
575 311 8 293
117 62 24 246
184 255 12 226
392 265 10 312
526 584 26 438
267 12 12 311
389 316 10 282
575 141 18 291
763 504 32 145
70 520 28 264
502 48 6 233
394 424 23 465
317 44 14 257
693 503 26 239
427 306 20 182
108 145 24 239
412 399 16 182
534 213 28 280
660 478 0 100
524 461 33 262
373 420 22 220
344 390 18 183
673 40 21 246
263 273 28 431
669 7 29 267
552 578 26 241
603 53 24 253
85 136 20 241
81 484 24 259
199 509 26 231
351 114 18 223
274 92 24 307
220 485 16 270
630 154 22 524
44 553 22 241
547 20 0 100
163 100 30 285
786 141 22 347
754 158 24 477
562 414 20 464
330 288 27 290
403 157 24 291
36 117 31 422
396 561 14 200
334 582 20 202
60 119 10 239
219 397 8 237
225 434 22 304
570 3 14 228
582 273 26 246
328 309 20 371
318 508 32 288
544 299 6 212
418 552 16 214
49 152 30 313
197 258 12 315
195 378 14 245
163 81 26 263
666 395 22 254
713 597 16 225
307 138 20 323
35 107 20 287
107 137 12 234
468 137 14 239
393 313 10 365
552 314 12 211
760 317 12 232
308 388 24 375
737 233 14 266
404 135 0 100
50 518 26 234
567 220 27 298
727 61 28 456
394 148 26 338
702 2 20 238
519 500 30 214
559 381 22 290
187 548 18 231
432 196 26 336
113 586 2 175
478 255 22 354
411 228 26 201
364 157 18 318
400 489 22 214
465 131 20 310
100 598 2 166
192 528 20 280
383 546 32 111
656 401 16 253
295 474 26 267
24 107 19 248
7 289 31 418
371 187 22 362
146 25 18 225
0 420 2 181
88 19 26 248
189 515 28 246
601 402 10 300
406 144 26 327
406 341 23 493
394 271 4 226
381 315 0 100
34 131 22 248
250 571 16 201
296 365 22 247
13 32 10 217
722 83 32 134
81 469 22 234
621 21 28 513
295 330 16 180
498 120 16 306
556 313 12 301
114 206 20 447
339 360 28 357
743 398 18 241
584 567 16 198
150 216 18 282
450 345 16 272
191 297 30 274
268 38 16 226
419 197 32 270
178 295 28 334
322 562 28 296
474 167 16 358
528 404 28 296
542 503 26 382
196 463 24 271
357 101 24 326
588 463 18 217
750 99 29 253
242 429 33 461
479 449 0 100
534 51 14 278
755 159 14 290
54 104 20 231
417 184 22 355
472 128 0 100
609 44 28 307
625 353 26 278
775 125 32 311
342 436 18 212
198 352 16 273
9 176 0 100
241 309 14 199
37 255 14 299
58 184 26 324
777 487 29 318
102 151 28 243
435 190 25 309
707 355 22 396
577 3 20 257
31 31 26 234
390 149 10 250
112 39 28 239
528 571 24 188
583 581 24 197
715 251 20 255
165 81 18 267
747 424 28 242
661 154 24 278
100 9 18 335
605 43 20 276
431 429 18 285
494 166 28 222
720 78 20 242
268 571 27 230
502 4 16 335
678 421 4 232
482 215 24 306
607 111 20 268
398 234 0 100
96 218 28 483
667 365 12 305
21 72 10 256
62 246 20 235
785 490 29 374
445 203 16 272
683 130 32 140
246 340 6 256
359 252 14 208
276 377 18 286
605 499 30 377
298 236 18 342
616 490 31 320
579 347 14 281
577 587 28 254
300 95 22 249
404 421 16 206
274 189 28 321
78 496 26 249
460 447 18 220
619 301 14 317
384 49 0 100
793 372 18 401
497 411 20 426
321 340 10 196
627 68 24 445
167 296 20 284
764 114 28 466
348 246 18 314
28 213 36 531
103 369 12 245
327 250 10 193
561 192 24 321
764 499 30 244
609 316 24 225
275 308 31 268
566 118 8 254
335 68 22 227
330 534 26 260
284 383 20 280
621 234 14 305
403 8 20 432
393 11 0 100
732 544 24 200
261 388 20 278
709 575 0 100
728 132 24 331
769 573 18 232
473 434 18 288
105 372 26 244
683 311 20 274
542 14 24 239
669 547 26 215
138 526 26 247
484 404 32 289
569 264 14 211
538 157 22 430
122 290 24 333
478 285 8 270
402 560 28 198
727 596 14 207
602 173 26 279
304 297 24 310
236 588 18 208
411 252 4 221
474 552 30 189
418 349 27 304
37 147 10 278
275 13 0 100
262 336 29 297
607 291 30 277
31 211 4 232
278 175 28 265
53 575 30 218
52 497 28 431
314 112 21 352
681 386 22 248
771 417 26 229
246 16 0 100
546 490 34 187
717 385 20 259
764 57 28 248
175 271 18 246
371 478 31 562
559 6 16 216
81 471 30 261
595 335 2 167
604 9 0 100
625 406 26 321
340 596 30 199
356 70 10 294
78 205 20 236
464 570 24 194
610 267 36 307
