# Starting test run
x y points n_ticks consumed_balls
520 280 28 3164 14
105 148 30 3488 14
509 335 22 4912 11
165 89 30 3212 15
498 50 22 3635 11
456 491 28 2943 14
215 358 24 4483 11
236 337 23 4635 11
152 494 28 4576 14
726 577 14 3690 7
170 521 22 2104 11
108 185 28 3380 14
271 298 28 3529 14
771 105 28 2611 14
665 489 26 2630 13
306 514 14 2205 7
301 30 22 3007 11
261 154 25 3031 12
568 324 24 3506 12
122 531 29 4826 12
144 1 16 3910 8
298 495 2 1063 1
21 48 6 1764 3
112 407 32 3974 15
503 186 32 1799 16
78 216 34 4302 15
315 482 28 3512 14
739 347 28 4552 14
581 149 32 2177 16
607 275 28 2527 14
589 245 26 2636 13
349 510 30 3711 15
295 57 18 3122 9
230 166 30 4535 14
412 113 12 2893 6
350 550 12 1988 6
272 21 16 2707 8
516 417 25 4725 12
68 75 22 3513 11
515 164 20 4777 10
297 446 22 5012 11
755 305 28 5157 14
461 71 6 1271 3
778 133 22 3906 11
212 219 28 3923 14
450 79 32 2852 16
200 418 14 3020 7
649 311 31 3237 15
621 238 20 3418 10
473 162 30 2574 15
362 372 24 2444 12
424 409 26 3475 13
741 365 27 3815 13
640 135 28 4649 13
650 74 34 5225 15
513 464 26 3557 13
166 376 14 2067 7
243 101 25 3848 12
41 32 24 4880 11
507 85 24 3314 12
530 356 26 4217 13
441 114 24 3728 12
179 538 37 6077 15
640 563 28 5226 14
329 6 24 3589 12
559 581 29 5150 14
48 474 24 3545 12
345 446 18 2271 9
694 372 30 3643 15
170 498 30 4451 15
279 397 30 4641 15
695 493 26 4083 13
327 575 33 3869 16
125 599 0 1000 0
460 389 30 4149 15
614 95 28 3754 14
307 278 26 2366 13
410 476 20 3657 10
739 528 14 2712 7
778 460 30 5463 15
582 155 26 5155 13
82 59 23 4926 11
372 492 26 3220 13
112 594 27 3523 13
117 500 26 2922 13
578 506 34 5413 15
55 304 24 3196 12
541 258 26 4612 13
680 82 28 3989 14
544 162 30 2794 15
606 240 28 4312 14
491 102 29 4254 13
291 172 32 2355 16
80 397 25 4628 12
348 363 30 3321 15
674 296 24 2732 12
556 579 29 3155 14
192 267 31 3324 15
433 28 28 4267 14
251 214 28 3857 14
589 552 21 4821 10
464 404 22 3485 11
736 417 28 3823 14
766 297 28 3219 13
461 94 28 4457 14
132 264 26 4243 13
315 88 20 3473 10
763 26 22 4102 11
141 49 22 2723 11
66 115 8 2019 4
298 542 18 2734 9
718 248 16 2041 8
488 127 26 3435 13
370 427 27 3678 13
231 240 20 2531 10
296 536 16 2650 8
537 335 22 2022 11
638 422 32 2201 16
635 56 16 3598 8
700 417 20 3022 10
176 268 24 2347 12
573 313 30 3246 15
43 106 20 3043 10
301 424 26 2910 13
433 454 28 2826 14
182 271 28 3203 14
36 159 0 1000 0
351 99 22 3418 11
534 500 30 4716 14
549 127 28 5040 14
466 247 30 2955 15
377 132 24 2466 12
555 509 31 4920 15
318 407 26 2696 13
148 459 22 3588 11
239 457 28 3278 14
494 29 14 2750 7
398 105 28 3976 14
113 316 26 3026 13
647 363 32 2607 16
545 185 30 5016 15
54 205 26 3774 13
66 358 26 3104 13
161 568 16 2714 8
91 584 25 3065 12
246 83 28 2736 14
217 324 27 4818 13
366 338 24 2775 12
614 214 22 2633 11
688 45 20 3054 10
349 498 24 2658 12
603 31 32 3628 16
625 389 26 4206 13
317 575 8 1943 4
597 241 32 2600 16
295 131 26 3463 13
243 567 28 5356 13
424 247 26 4053 13
553 555 27 3625 13
117 262 28 2493 14
429 87 32 2697 16
87 51 33 4383 15
451 382 24 2037 12
724 532 20 3308 10
89 206 30 3078 15
476 104 18 4148 9
497 409 28 3113 14
212 518 24 3211 12
395 469 32 3803 16
20 311 0 1000 0
295 399 32 2337 16
703 486 26 3480 13
418 209 24 2625 12
123 213 31 4678 14
73 516 27 4696 13
83 38 26 4093 13
36 485 24 2921 12
158 241 27 3733 13
714 444 22 3380 11
175 398 26 2823 13
14 133 28 4028 14
586 300 24 3056 12
106 313 32 1847 16
644 498 20 3695 10
496 474 22 3008 11
345 205 30 2787 15
494 277 26 2739 13
494 331 28 4001 14
767 373 28 4857 14
259 389 24 3017 12
133 13 24 5008 12
453 381 26 3765 13
1 370 20 3263 10
350 535 26 4280 13
435 188 22 2818 11
494 382 30 3431 15
781 352 10 3245 5
306 80 26 3958 13
506 126 20 2738 10
46 322 22 2228 11
731 91 26 3688 13
471 299 32 1681 16
615 37 22 2478 11
79 118 18 2150 9
277 545 28 2428 14
321 156 22 4096 11
132 475 22 3880 11
225 583 27 3991 13
767 8 26 6210 12
170 517 6 1433 3
550 430 30 3961 15
793 269 6 1698 3
798 491 28 6049 14
769 572 20 5353 10
608 595 16 2617 8
59 544 28 3218 14
473 83 8 1705 4
656 356 16 2548 8
643 379 12 1630 6
113 560 22 1832 11
706 212 30 3750 15
290 152 20 2648 10
404 569 22 2765 11
352 492 22 2749 11
282 298 22 2960 11
111 407 24 3214 12
382 463 22 3001 11
553 193 22 2679 11
386 250 20 2722 10
483 424 22 4521 11
33 128 8 1515 4
150 302 26 3752 13
91 293 29 3665 14
344 141 26 4589 13
321 129 26 3538 13
689 593 0 1000 0
561 192 18 2912 9
127 319 32 2883 16
312 21 24 3360 12
571 56 0 1000 0
783 412 28 3280 14
394 170 26 3724 13
349 550 23 2482 11
326 3 16 2905 8
747 522 18 3667 9
605 320 26 3085 13
413 309 23 3882 11
273 247 26 3151 13
534 569 30 3027 15
416 310 28 2867 14
72 393 30 2893 15
227 308 29 3138 14
732 110 16 2976 8
510 297 18 2788 9
196 205 30 4250 15
431 427 22 2252 11
637 406 28 2939 14
598 554 28 3599 14
305 387 22 2394 11
81 24 22 4519 11
687 285 33 4164 15
43 222 26 2691 13
89 424 24 2754 12
512 318 26 2732 13
46 474 25 4086 12
672 264 30 3827 15
635 324 30 3130 15
136 557 12 2236 6
307 238 32 3346 14
200 148 28 3626 14
360 177 28 2957 14
271 382 32 2320 16
277 410 30 3561 15
294 396 0 1000 0
270 191 28 3192 14
319 392 22 4273 11
748 459 27 3576 12
607 576 25 3626 12
392 321 24 2721 12
618 190 34 5077 15
207 285 24 3035 12
300 174 16 2762 8
67 287 28 3774 14
720 83 20 2006 10
611 287 28 3356 14
165 94 20 3848 10
73 600 2 1079 1
22 167 32 4415 16
502 552 22 3556 11
148 35 2 1026 1
582 159 24 3375 12
778 341 22 4203 11
358 107 20 3863 10
542 190 30 2715 15
527 146 24 2959 12
429 211 22 4367 11
116 414 28 2336 14
339 182 20 2464 10
199 518 27 3963 13
273 261 24 2739 12
61 544 33 5749 15
649 120 24 3318 12
160 132 26 2711 13
618 36 29 5033 14
31 69 24 3562 12
188 524 20 2982 10
83 138 26 3531 13
108 354 30 3326 14
436 286 32 3784 15
420 367 28 3504 14
266 15 22 4315 11
223 549 24 4138 12
277 280 26 2583 13
761 130 18 4481 9
44 404 30 4243 15
205 414 0 1000 0
53 361 32 3989 16
654 437 22 3382 11
463 186 22 2700 11
60 266 30 3020 15
774 7 2 1687 1
795 12 8 2888 4
671 451 24 4207 12
688 574 20 3400 10
405 477 30 2290 15
588 574 28 2735 14
321 260 22 2923 11
153 354 20 3432 10
208 194 20 2596 10
369 526 24 2988 12
575 527 24 3411 12
651 86 36 3335 16
540 439 26 3531 13
232 85 26 3837 13
504 343 31 4046 13
439 226 24 3534 12
298 83 24 4238 12
791 266 28 3964 13
601 360 30 4177 15
62 555 20 2632 10
150 511 22 3814 11
32 579 10 2010 5
572 598 24 5013 12
434 424 28 2636 14
438 288 30 3857 15
38 294 27 4567 13
7 377 8 2021 4
370 249 0 1000 0
61 17 16 3071 8
590 491 27 4446 13
383 308 30 4281 15
148 88 24 3304 12
636 457 22 2928 11
121 136 28 2959 14
554 383 28 3584 14
386 311 25 5500 12
249 45 30 3647 15
257 41 30 4709 15
448 471 26 4102 13
712 31 24 3911 12
392 541 18 2354 9
427 265 30 3558 15
744 544 8 2280 4
661 179 27 4145 13
327 534 6 1642 3
538 233 22 4190 11
603 329 22 4289 11
798 184 24 3150 12
16 81 20 2942 10
158 394 24 2573 12
798 316 0 1000 0
356 61 26 3210 13
207 6 24 3641 12
22 307 22 4618 11
521 263 22 3330 11
474 123 26 2682 13
385 207 22 2674 11
796 334 8 2155 4
399 69 20 3083 10
556 148 24 3669 12
473 438 28 4166 14
84 278 22 3423 11
521 320 22 2726 11
355 372 18 3432 9
468 73 26 3847 13
717 568 14 2971 7
735 345 28 3563 14
445 296 33 4825 16
550 29 22 4816 11
783 390 26 3469 13
470 455 24 3183 12
268 5 24 3677 12
70 514 30 3915 15
718 322 22 3712 11
467 150 26 3681 13
664 93 26 4959 12
525 591 28 6025 12
644 74 26 3397 13
263 271 28 3568 14
488 233 20 3083 10
563 118 30 3512 15
19 92 20 2542 10
660 418 24 2969 12
645 336 36 5945 16
265 258 20 3090 10
273 408 30 4506 15
54 203 26 2406 13
410 541 30 3006 15
299 316 22 2741 11
211 301 26 4038 13
98 495 16 3131 8
409 92 12 2282 6
474 501 0 1000 0
687 143 18 2234 9
355 115 22 2809 11
230 242 16 2183 8
359 27 30 3684 14
